feature,train,train_10_fold,combined,combined_10_fold,mean
dur,2.8625864720394465,2.4824704243339357,2.6442860038071108,2.604661595300297,2.648501123870197
proto,1.3879481934949458,1.2086372176675304,0.9647995208743398,1.0133612426178549,1.1436865436636676
service,0.45699503511452577,0.4423862265574112,0.853872152757322,0.7664198174561778,0.6299183079713592
state,1.8591435753966556,1.4988071502558609,1.3919299614783485,1.4909531697268663,1.560208464214433
spkts,0.9049584416112566,0.8449152499518612,1.0129873316987097,0.9585465977938621,0.9303519052639224
dpkts,2.3224100295464494,2.0120966842894736,1.0316670880824095,1.9352359190236985,1.8253524302355078
sbytes,3.0677246980137123,3.1611781063850346,3.9694058513252597,4.335510460339387,3.6334547790158482
dbytes,3.18363016060537,2.563251851174817,3.209111225673134,3.5916031713175935,3.1368991021927286
rate,4.253580994107926,5.088481617817325,5.222648114819765,4.857873467400189,4.855646048536301
sttl,16.255094488890048,16.075504511802986,10.982768134897153,13.046694282636565,14.090015354556687
dttl,7.311621188089331,4.147223173156124,3.6482965627363484,4.063089928417816,4.792557713099905
sload,3.310174985064132,3.5948290999023045,4.113432131288265,5.443972602552667,4.115602204701842
dload,4.567463704300816,6.722057579059171,6.955424384551119,5.019960578977909,5.816226561722253
sloss,0.7715809938455147,0.805840143603955,0.882637858626874,0.990615251359902,0.8626685618590615
dloss,0.5812025486818265,0.6083347216938093,0.5843234526720034,0.6232192999177105,0.5992700057413374
sinpkt,2.8798700324601394,2.265447382868185,2.1813547866092797,2.2451158523911503,2.3929470135821886
dinpkt,2.2846520402713364,2.4794859717129936,3.848956347739494,3.1331899316453105,2.9365710728422836
sjit,2.0277715583237335,1.5081484593511618,1.787681024091283,1.5575449056496449,1.7202864868539558
djit,1.4709708113260394,1.1699851832046162,1.4442744722606637,1.1716968104445458,1.3142318193089664
swin,0.5698936526729043,0.5045716187535174,0.8420020169582112,0.7769408294314215,0.6733520294540136
stcpb,0.7602875359992646,0.7353524386227471,0.7829728736409989,0.8473100319453013,0.781480720052078
dtcpb,0.7774476415699387,0.7760986399846065,0.8523815991587637,0.828924634644351,0.808713128839415
dwin,0.07578386889926983,0.03945597683717387,0.03422080038416071,0.063007091241294,0.0531169343404746
tcprtt,3.202787437076695,2.825855107324511,3.4123778965510816,2.6431542422521725,3.0210436708011152
synack,2.6543143566775997,3.091646430366012,2.5132909418654803,2.471692161868492,2.6827359726943962
ackdat,1.805762173984871,3.5055307894236964,1.8951437715758908,2.793215998400985,2.4999131833463606
smean,2.706846548250474,2.6528471922507673,4.341097286268506,3.983861443057947,3.4211631174569233
dmean,4.991935217208657,3.920904030705795,2.5005825240037267,2.727107317101718,3.535132272254974
trans_depth,0.09277643279047709,0.12682563880519096,0.13643928419142234,0.15145555279506584,0.12687422714553906
response_body_len,0.15429736699896174,0.14852350183220966,0.3539655153254564,0.3474281756921421,0.2510536399621925
ct_srv_src,2.27930119995808,2.1652887187176053,2.753264499758562,2.4500564358586217,2.411977713573217
ct_state_ttl,8.961908525142691,12.08874426384571,10.941242080594588,9.252235892422158,10.311032690501287
ct_dst_ltm,0.7757124387715142,0.7869517981449619,0.9441553842659867,0.8619928774404215,0.8422031246557211
ct_src_dport_ltm,0.7642101055512845,0.6179647797481908,0.6789781928798904,0.6589434607924145,0.680024134742945
ct_dst_sport_ltm,0.4875999830899019,0.8606845665187324,1.4678183974999561,1.1890102712252753,1.0012783045834666
ct_dst_src_ltm,2.145277253660901,2.270750207883794,3.4258336387731574,3.960990407748688,2.9507128770166346
is_ftp_login,0.010394489523449178,0.010354210430107232,0.009388234918715117,0.011399771401993917,0.01038417656856636
ct_ftp_cmd,0.007455456203173427,0.009333881539090382,0.010376307151573068,0.011351366531001912,0.009629252856209696
ct_flw_http_mthd,0.17037050204213613,0.15038178666166374,0.23243810407111365,0.2131370943683643,0.19158187178581948
ct_src_ltm,0.9419656667515538,0.796283443520974,0.896203934158141,0.8138003884403157,0.862063358217746
ct_srv_dst,3.435445857202863,2.783740108854535,3.6947020861873785,3.70483141112672,3.404679865842874
is_sm_ips_ports,0.4688463387901267,0.4528301144398566,0.5512682238283492,0.3888882592439927,0.4654582340755813
